"Shot","slice","time","window"
1100811015,1,0.9,0.1
1100811015,2,1.1,0.1
1100811016,1,0.9,0.1
1100811016,2,1.1,0.1
1110105020,1,0.75,0.05
1110105020,2,0.85,0.05
1110105020,3,0.95,0.05
1110105020,4,1.05,0.05
1110105020,5,1.35,0.05
1110105020,6,1.45,0.05
1110105024,1,0.65,0.05
1110105024,2,0.75,0.05
1110105024,3,0.85,0.05
1110105024,4,0.95,0.05
1110105024,5,1.05,0.05
1110105024,6,1.15,0.05
1110105024,7,1.25,0.05
1110105024,8,1.35,0.05
1110105027,1,0.65,0.05
1110105027,2,0.75,0.05
1110105027,3,0.85,0.05
1110105027,4,0.95,0.05
1110105027,5,1.05,0.05
1110105027,6,1.15,0.05
1110105027,7,1.25,0.05
1110105027,8,1.35,0.05
1110105028,1,0.75,0.05
1110105028,2,0.85,0.05
1110105028,3,0.95,0.05
1110105028,4,1.05,0.05
1110105028,5,1.15,0.05
1110105028,6,1.25,0.05
1110105028,7,1.35,0.05
1110105028,8,1.45,0.05
1110105029,1,0.65,0.05
1110105029,2,0.75,0.05
1110105029,3,0.85,0.05
1110105029,4,0.95,0.05
1110105029,5,1.05,0.05
1110105029,6,1.15,0.05
1110105029,7,1.25,0.05
1110105029,8,1.35,0.05
1110105029,9,1.45,0.05
1110105030,1,0.75,0.05
1110105030,2,0.85,0.05
1110105030,3,0.95,0.05
1110105030,4,1.05,0.05
1110105030,5,1.15,0.05
1110105030,6,1.25,0.05
1110105030,7,1.35,0.05
1110105030,8,1.45,0.05
1110105031,1,0.75,0.05
1110105031,2,0.85,0.05
1110105031,3,0.95,0.05
1110105031,4,1.05,0.05
1110105031,5,1.25,0.05
1110105031,6,1.35,0.05
1110105031,7,1.45,0.05
1110105032,1,0.85,0.05
1110105032,2,0.95,0.05
1110105032,3,1.05,0.05
1110105032,4,1.25,0.05
1110105032,5,1.35,0.05
1110105032,6,1.45,0.05
1110105033,1,0.75,0.05
1110105033,2,1.15,0.05
1110125004,1,0.75,0.05
1110125004,2,1.05,0.05
1110125004,3,1.45,0.05
1110125009,1,0.75,0.05
1110125009,2,0.85,0.05
1110125009,3,0.95,0.05
1110125009,4,1.15,0.05
1110125010,1,0.75,0.05
1110125010,2,0.85,0.05
1110125010,3,0.95,0.05
1110125010,4,1.15,0.05
1110125011,1,0.85,0.05
1110125011,2,1.05,0.05
1110125011,3,1.25,0.05
1110125012,1,0.85,0.05
1110125012,2,1.15,0.05
1110125012,3,1.25,0.05
1110125012,4,1.45,0.05
1110125016,1,1.05,0.05
1110125016,2,1.35,0.05
1110125017,1,1.05,0.05
1110125017,2,1.35,0.05
1110125019,1,1.05,0.05
1110125019,2,1.25,0.05
1110125019,3,1.45,0.05
1110204026,1,0.95,0.05
1110204026,2,1.25,0.05
1110204031,1,0.95,0.05
1110204031,2,1.45,0.05
1110329009,1,0.65,0.05
1110329009,2,0.85,0.05
1110329009,3,1.05,0.05
1110329009,4,1.45,0.05
1120207017,1,0.75,0.05
1120207017,2,0.85,0.05
1120207017,3,0.95,0.05
1120207017,4,1.15,0.05
1120207017,5,1.25,0.05
1120207017,6,1.45,0.05
1120216010,1,0.95,0.05
1120216010,2,1.25,0.05
1120216011,1,0.95,0.05
1120216011,2,1.45,0.05
1120216012,1,0.95,0.05
1120216012,2,1.45,0.05
1120216017,1,0.75,0.05
1120216017,2,1.05,0.05
1120216017,3,1.25,0.05
1120216017,4,1.45,0.05
1120216023,1,0.95,0.05
1120517008,1,0.95,0.05
1120517008,2,1.25,0.05
1120615005,1,1.05,0.05
1120615005,2,1.35,0.05
1120615006,1,0.85,0.05
1120615006,2,1.05,0.05
1120615006,3,1.35,0.05
1120615013,1,0.65,0.05
1120615013,2,0.95,0.05
1120615015,1,0.95,0.05
1120615015,2,1.35,0.05
1120626023,1,0.95,0.05
1120626023,2,1.35,0.05
1120626024,1,0.95,0.05
1120626024,2,1.35,0.05
1120626027,1,0.75,0.05
1120626027,2,0.95,0.05
1120626027,3,1.15,0.05
1120626027,4,1.35,0.05
1120718017,1,0.65,0.05
1120718017,2,0.95,0.05
1120718017,3,1.05,0.05
1120718017,4,1.35,0.05
1120210010,1,0.95,0.05
1120210010,2,1.35,0.05
1120210011,1,0.95,0.05
1120210011,2,1.35,0.05
1120210012,1,0.95,0.05
1120210012,2,1.35,0.05

