,shot,ar_signal,tmax,nl_04,nl_04_r,bt,bt_r,ip,ip_r,p_rf,p_rf_r,p_rf_t,ssep,ssep_r,vel,vel_r,lbo,cryopump
0,1150710003.0,106.010147095,1.5,3.51773132242e+19,3.73271586232e+18,-5.43943548203,0.0117101669312,-0.60857475,0.012538203125,0.0,0.0,0.0,-40.0,37.5228991508,-6.52863264084,25.0314729691,0.0,0.0
1,1150710005.0,1224.98669434,1.5,2.93822481295e+19,6.29492628032e+18,-5.4374833107,0.0126857757568,-0.607637375,0.01659670625,0.0,0.0,0.0,-40.0,37.5158448219,-5.1725897789,12.0398747087,0.0,0.0
2,1150710007.0,2254.05175781,1.5,3.00328665431e+19,4.93463006574e+18,-5.43455600739,0.0117106437683,-0.612330375,0.013139625,0.0,0.0,0.0,-40.0,37.4724740982,-9.74223470688,16.8981888175,0.0,0.0
3,1150710008.0,1960.59893799,1.5,3.72625590165e+19,1.56258992738e+19,-5.42479753494,0.012686252594,-0.8045791875,0.0369671875,0.0,0.0,0.0,-1.6565015316,38.7490228415,0.120622735471,14.1754039764,0.0,0.0
4,1150710010.0,3278.69177246,1.5,3.34982995949e+19,4.81065661127e+18,-5.43455600739,0.0117106437683,-0.6110655625,0.012513375,0.0,0.0,0.0,-40.0,37.5471147299,-1.03088158369,17.1313051701,0.0,0.0
5,1150710011.0,3000.02429199,1.5,2.90015334323e+19,5.33197157779e+18,-5.43162870407,0.011709690094,-0.60419996875,0.021922165625,0.0,0.0,0.0,-40.0,37.5299093723,7.30652523041,10.199523437,0.0,0.0
6,1150710012.0,3259.02648926,1.5,3.29492023885e+19,4.74508877466e+18,-5.43162870407,0.011709690094,-0.6066979375,0.019723875,0.0,0.0,0.0,-40.0,37.5468345881,4.59515929222,13.46259588,0.0,0.0
7,1150710013.0,3521.95507812,1.5,3.44964472458e+19,5.5445279562e+18,-5.42967653275,0.0117106437683,-0.6070090625,0.017849125,0.0,0.0,0.0,-40.0,37.5644904375,6.19848895073,14.9266596198,0.0,0.0
8,1150710014.0,4025.5378418,1.5,3.50017157197e+19,7.16707330707e+18,-5.42674922943,0.0107350349426,-0.6113643125,0.01658625,0.0,0.0,0.0,-40.0,37.557277441,-2.99582767487,16.4619606972,0.0,0.0
9,1150710015.0,1988.27734375,1.5,2.79835714825e+19,7.97740128211e+18,-5.42577362061,0.0126867294312,-0.615427,0.018158434375,0.0,0.0,0.0,-40.0,37.6187157631,0.253493728116,16.3047791958,0.0,0.0
10,1150710016.0,1611.78076172,1.5,2.9654004523e+19,5.68043012227e+18,-5.42772483826,0.0107350349426,-0.617635375,0.0200369375,0.0,0.0,0.0,-40.0,37.6206769943,1.87523823977,13.3860068798,0.0,0.0
11,1150710017.0,1430.72851562,1.5,2.77349532117e+19,7.22716722504e+18,-5.42870044708,0.011709690094,-0.61702034375,0.0212936875,0.0,0.0,0.0,-40.0,37.5841648579,3.5475423336,8.59853665531,0.0,0.0
12,1150710018.0,1626.02313232,1.5,2.92852843981e+19,4.84668298936e+18,-5.42674922943,0.0136623382568,-0.6169988125,0.0219096875,0.0,0.0,0.0,-40.0,37.5755025148,1.4080401063,9.31335772276,0.0,0.0
13,1150710019.0,1764.08459473,1.5,2.9767239927e+19,4.29304578948e+18,-5.42382192612,0.0136613845825,-0.6135563125,0.022534,0.0,0.0,0.0,-40.0,37.6277292967,0.453578799963,15.8431604147,0.0,0.0
14,1150710020.0,1902.62194824,1.5,2.73382175306e+19,6.99469275368e+18,-5.42577362061,0.012686252594,-0.608230875,0.010986534375,0.0,0.0,0.0,-40.0,37.5800634623,7.63094329834,9.55973949432,0.0,0.0
15,1150710021.0,2533.4197998,1.5,3.23039517907e+19,4.73525958052e+18,-5.42674922943,0.012686252594,-0.6060450625,0.0122458375,0.0,0.0,0.0,-40.0,37.5733132362,5.37811303139,9.89556991123,0.0,0.0
16,1150710022.0,2225.09521484,1.5,3.02256626085e+19,6.34822840501e+18,-5.42772483826,0.0146379470825,-0.6104475,0.012511375,0.0,0.0,0.0,-40.0,37.5278880596,4.02101254463,14.4378759742,0.0,0.0
17,1150710023.0,2083.44921875,1.5,3.0234925994e+19,9.06378595052e+18,-5.42674922943,0.0146379470825,-0.61513025,0.015953875,0.0,0.0,0.0,-40.0,37.7911715508,2.53396856785,13.0131955802,0.0,0.0
18,1150710024.0,1625.84191895,1.5,3.13620001792e+19,9.89360848662e+18,-5.42577362061,0.0117106437683,-0.616077875,0.0219076875,0.0,0.0,0.0,-40.0,37.4817599058,6.86501741409,13.5193349943,0.0,0.0
19,1150710025.0,2416.85961914,1.5,2.9732399702e+19,7.1679508273e+18,-5.42479753494,0.0126857757568,-0.6035460625,0.009410625,0.0,0.0,0.0,-40.0,37.5405194759,11.7057285309,6.03020253181,0.0,0.0
20,1150723003.0,2412.12036133,1.5,3.66024320264e+19,2.28903500586e+19,-5.41796636581,0.00980679988861,-0.8055043125,0.0347793125,0.0,0.0,0.0,-1.64205539227,38.7710319161,-1.29786086082,17.5742898464,0.0,0.0
21,1150723004.0,1623.94726562,1.5,4.30051147343e+19,3.69662120455e+18,-5.41699075699,0.0107336044312,-0.6054085,0.0115965625,0.0,0.0,0.0,-3.27274847031,37.6554498672,-8.41305065155,8.12770648003,0.0,0.0
22,1150723005.0,1128.27154541,1.5,4.07828829873e+19,9.90275301488e+18,-5.41796636581,0.011709690094,-0.609471125,0.0078388125,0.628611862659,0.346423763037,0.998399972916,-40.0,37.4724203348,-11.210641861,10.9265156746,0.0,0.0
23,1150723006.0,987.393981934,1.5,4.07784321643e+19,7.92971546282e+18,-5.41894245148,0.00975942611694,-0.61072575,0.0072166875,0.842563480139,0.470455887914,0.998600006104,-40.0,37.7672151327,-11.9207201004,11.4933060408,0.0,0.0
24,1150723007.0,1627.31494141,1.5,4.23094515284e+19,1.25220710773e+19,-5.41796636581,0.00975847244263,-0.607925875,0.01316625,0.856698572636,0.935051861405,0.934800028801,-40.0,37.5461345911,-13.0187444687,9.00232839584,0.0,0.0
25,1150723008.0,3712.26940918,1.5,4.09148067905e+19,5.78358993158e+18,-5.4199180603,0.00975942611694,-0.60713590625,0.0109743125,0.0,0.0,0.0,-3.73780727386,37.5168288946,-11.2720346451,8.60050940514,0.0,0.0
26,1150723009.0,4024.54138184,1.5,4.49675054954e+19,8.29978204962e+18,-5.41796636581,0.00975847244263,-0.6088633125,0.0144168125,0.0,0.0,0.0,-40.0,37.6245174408,-16.0546951294,14.1558459997,0.0,0.0
27,1150723010.0,3831.11755371,1.5,4.44908738018e+19,8.07527870771e+18,-5.41796636581,0.00975847244263,-0.6101096875,0.01850076875,0.0,0.0,0.0,-40.0,37.5021021366,-16.3793144226,17.6333813906,0.0,0.0
28,1150723011.0,3745.38378906,1.5,4.31004357954e+19,8.81317569456e+18,-5.4199180603,0.0078067779541,-0.61011175,0.0219344125,0.0,0.0,0.0,-3.84774374962,37.6224597692,-15.7409796715,18.0477941275,0.0,0.0
29,1150723012.0,3700.05737305,1.5,4.17312117663e+19,1.04292449219e+19,-5.4199180603,0.0107350349426,-0.609174375,0.0222371875,0.0,0.0,0.0,-3.80146169662,37.4788039923,-15.5330352783,19.3868927956,0.0,0.0
30,1150723013.0,3652.58666992,1.5,4.53736826829e+19,9.42071260371e+18,-5.4199180603,0.00878286361694,-0.610427,0.022243375,0.0,0.0,0.0,-3.77414703369,37.537212491,-16.5729398727,19.5594678879,0.0,0.0
