,shot,time,mods,nl_04,bt,ip,p_rf,ssep,zave,q95,numin,xmin,Lne,LTe,a,R
0,1160617031.0,0.8986,u,8.64641870334e+19,-5.40820837021,-1.17606075,4.10014108638e-05,1.37036705017,3.66502959316,3.28811144829,0.466183855929,0.441266968609,-5.59396388043,0.741220709936,0.216226127116,0.677083510694
1,1160617030.0,0.9658,u,9.46714432004e+19,-5.40528011322,-1.17625025,4.04988968512e-05,1.34782683849,3.43813611336,3.26458406448,0.515138094668,0.442180114613,-0.917739791561,0.73341279597,0.21581874073,0.676670578476
2,1160617026.0,0.957,u,9.50239818127e+19,-5.41308689117,-1.175018625,8.78989376361e-05,1.38013088703,3.45799223348,3.2794907093,0.475658116578,0.445196347811,-2.30526478347,0.760799671369,0.215455390761,0.677027693386
3,1160512026.0,0.7493,d,4.71838526561e+19,-5.53506946564,-0.7886248125,7.71716731833e-05,0.839465916157,5.04193009406,4.8161444664,0.319403787072,0.272064898714,0.01175633838,1.21841623715,0.217360635884,0.678425063475
4,1160512026.0,1.0381,u,4.67733917714e+19,-5.47456645966,-0.7884789375,7.72257626522e-05,1.03235888481,4.42797242268,4.6239118576,0.183882479964,0.286371293738,-0.0306227057856,1.57492646034,0.216505551807,0.678077799839
5,1160512026.0,1.3746,d,4.81160362064e+19,-5.26524448395,-0.77635275,7.72881830926e-05,1.19078052044,3.85348305407,4.46660423279,0.00543537344029,0.236744819249,0.00565919279938,1.54740768563,0.215052212836,0.677080641116
6,1160512025.0,0.7241,d,4.75920881294e+19,-5.48530101776,-0.79034675,7.77077802923e-05,1.01075541973,5.19509868097,4.83836364746,0.379250660645,0.258803704161,-0.00751113406163,1.90921434546,0.216712231671,0.678218530587
7,1160512025.0,0.968,u,4.54181249429e+19,-5.38576364517,-0.792098,7.77778477641e-05,1.1127794981,5.13077210691,4.67315101624,0.419269045256,0.410375722627,-0.647556204555,0.644478885767,0.215400913433,0.678152299056
8,1160512025.0,1.1166,d,4.63938711438e+19,-5.2530465126,-0.782164875,7.77466048021e-05,1.10421216488,4.83065877731,4.62024354935,0.426886062816,0.27465867607,-0.0115130179797,1.01756146947,0.215811912143,0.678212646029
9,1160506025.0,0.65,u,5.19043639374e+19,-5.4140625,-0.792334375,8.06565076346e-05,1.03314220905,4.65985077223,4.76418209076,0.572797176523,0.41726617257,-0.493789530602,0.618590380876,0.217242434484,0.67942383823
10,1160506025.0,0.9302,di,4.74758917406e+19,-5.40918397903,-0.789576,8.07126343716e-05,1.05744242668,4.6448959067,4.74370193481,0.455226997835,0.403191877292,0.5509277923,0.617063253848,0.216319290623,0.678451672155
11,1160506025.0,0.983,up,5.5891122731e+19,-5.40820837021,-0.788418875,8.07033939054e-05,1.08487164974,4.53432128314,4.69758796692,0.466534015281,0.394835459971,0.16168301987,0.63700423796,0.21579370355,0.678817834077
12,1160506024.0,0.6282,u,5.42692287308e+19,-5.41796636581,-0.790863125,8.02313152235e-05,0.92666465044,4.39548111792,4.79261636734,0.510524566388,0.432173188127,0.63850879594,0.632364052934,0.217703464762,0.679123804932
13,1160506013.0,0.6733,u,5.31919272379e+19,-5.47261476517,-0.7901636875,8.17003965494e-05,1.03003287315,5.02297499457,4.82751274109,0.501002681902,0.415853981892,-2.05185300098,0.603660503682,0.217206175805,0.67893227087
14,1160506013.0,0.9426,d,4.99226041795e+19,-5.46773529053,-0.7905455625,8.16820247564e-05,1.08784258366,4.18102424673,4.78392696381,0.478230800389,0.417743443111,0.339072062238,0.590880003962,0.216071998671,0.678253817539
15,1160506013.0,1.0416,u,5.57138814566e+19,-5.46578359604,-0.7925015,8.16039828351e-05,1.10421454906,4.0165293545,4.75261497498,0.537122715878,0.430689073777,-0.62787230268,0.560704624603,0.214994805527,0.678083851036
16,1160506010.0,0.7546,u,7.13301747372e+19,-5.46871137619,-1.08661425,8.20271816337e-05,1.17118489742,3.19831081004,3.56267571449,0.354047620464,0.453387980375,-0.782712985422,0.715956193181,0.217166384723,0.67631140226
17,1160506010.0,1.0818,d,8.29349394262e+19,-5.46383190155,-1.0792165,8.18380649434e-05,1.24584078789,2.42111009487,3.54478526115,0.410921313747,0.448439580708,2.68596618761,0.669682286015,0.216886957216,0.676704589321
18,1160506010.0,1.3843,ui,6.84127965547e+19,-5.46090459824,-1.071880375,8.20331188152e-05,1.39168846607,2.74003021081,3.53459239006,0.339897431765,0.44156169338,2.68110323686,0.704729875919,0.215548114184,0.676211147904
19,1160506010.0,1.4923,dp,7.06251678814e+19,-5.45895242691,-1.065185875,8.19393317215e-05,1.43785238266,2.54783843018,3.58127784729,0.325960264614,0.438925588977,-1.2268132937,0.648288603445,0.2170090348,0.67474500207
