shot,reversals,low_confidence,ar_signal,tmax,nl_04,nl_04_r,bt,bt_r,ip,ip_r,p_rf,p_rf_r,p_rf_t,ssep,ssep_r,vel,vel_r,lbo,cryopump
1160617035,,,3768.79003906,1.5,3.41285165702E+019,2.18317625834E+019,-5.409183979,0.0146379471,-0.7903769688,0.0364539219,0,0,0,-1.7094455957,38.7554818392,-2.4484571219,18.1163700163,1,0.0122070313
1160617032,,,7082.50048828,1.5,8.2152060759E+019,9.70514284777E+018,-5.4052801132,0.0126862526,-1.1720576875,0.080474825,0,0,0,1.3734908104,0.3166920543,17.0437498093,29.3392903805,2,0.0209960938
1160617031,0.8986u,,5264.21044922,1.5,8.81017732636E+019,1.30190788104E+019,-5.4062557221,0.0126862526,-1.171535875,0.0831452188,0,0,0,1.3939226866,0.2983884811,17.4222269058,29.774003911,0,-0.0170898438
1160617030,0.9658u,,3787.27954102,1.5,9.48741007856E+019,1.49993410334E+019,-5.4062557221,0.0126862526,-1.1722286875,0.0850523313,0,0,0,1.3914214373,0.2899171114,5.7919721603,31.5783231258,0,0.0288085938
1160617029,,0.8765dw,2690.4354248,1.5,9.81032916696E+019,1.52606931881E+019,-5.4072322846,0.0136623383,-1.171413375,0.0798969313,0,0,0,1.4275739193,0.2785422206,-7.1833820343,14.8398300171,0,0.0375976563
1160617028,,0.9116dw,2648.53979492,1.5,9.83232115874E+019,1.46586718691E+019,-5.4101595879,0.0146374702,-1.169580625,0.0781957,0,0,0,1.4208174944,0.2905128002,-8.8189663887,12.0559110403,0,0.0659179688
1160617026,0.957u,,3801.24536133,1.5,9.44780522993E+019,1.51643337483E+019,-5.4101595879,0.0136623383,-1.170625125,0.080627725,0,0,0,1.4519742727,0.273868084,10.9558243752,29.5213539839,0,0.0229492188
1160617025,,,4545.14160156,1.5,8.58518470177E+019,1.70937505955E+019,-5.4140625,0.0146379471,-1.172558,0.0776277063,0,0,0,1.38694942,0.2391747236,15.0499134064,29.1123445511,2,0.0034179688
1160617022,,,6863.20239258,1.448499918,8.09872645288E+019,1.72373050326E+019,-5.4140625,0.0117106438,-1.171120625,0.0497940938,0,0,0,1.3933264613,0.2540890753,19.3745250702,23.7238503218,0,0.0590820313
1160617021,,,8647.03857422,0.9684998989,7.0721669818E+019,1.64591261179E+019,-5.4150390625,0.0058550835,-1.1799730625,0.0281245313,0,0,0,1.3638914228,0.1240741611,21.9078388214,22.3441447258,0,0.0561523438
