#ne(10^19/m^3)   Te(keV)         ptot(Pa)        zeff(-)         [null]         
1.2525423E+01   1.9921620E+00   6.4190188E+04   1.9999999E+00   0.0000000E+00
1.2524397E+01   1.9896024E+00   6.4144073E+04   2.0000000E+00   0.0000000E+00
1.2523282E+01   1.9838298E+00   6.3999971E+04   1.9999999E+00   0.0000000E+00
1.2516062E+01   1.9747971E+00   6.3739909E+04   2.0000000E+00   0.0000000E+00
1.2496321E+01   1.9625593E+00   6.3333557E+04   1.9999999E+00   0.0000000E+00
1.2463836E+01   1.9471027E+00   6.2762555E+04   2.0000000E+00   0.0000000E+00
1.2418655E+01   1.9284693E+00   6.2032248E+04   2.0000002E+00   0.0000000E+00
1.2360600E+01   1.9066032E+00   6.1144448E+04   1.9999998E+00   0.0000000E+00
1.2289854E+01   1.8815449E+00   6.0102021E+04   2.0000001E+00   0.0000000E+00
1.2206685E+01   1.8533872E+00   5.8912233E+04   2.0000000E+00   0.0000000E+00
1.2111187E+01   1.8221205E+00   5.7581807E+04   2.0000000E+00   0.0000000E+00
1.2003149E+01   1.7877411E+00   5.6114434E+04   2.0000000E+00   0.0000000E+00
1.1882841E+01   1.7502828E+00   5.4517008E+04   2.0000001E+00   0.0000000E+00
1.1750415E+01   1.7097713E+00   5.2799508E+04   2.0000000E+00   0.0000000E+00
1.1605707E+01   1.6661944E+00   5.0964771E+04   1.9999999E+00   0.0000000E+00
1.1448799E+01   1.6195564E+00   4.9022053E+04   1.9999999E+00   0.0000000E+00
1.1279967E+01   1.5699283E+00   4.6981973E+04   2.0000003E+00   0.0000000E+00
1.1099715E+01   1.5174753E+00   4.4854060E+04   1.9999999E+00   0.0000000E+00
1.0908808E+01   1.4626272E+00   4.2658716E+04   2.0000002E+00   0.0000000E+00
1.0707822E+01   1.4059250E+00   4.0418542E+04   1.9999998E+00   0.0000000E+00
1.0497249E+01   1.3485595E+00   3.8155279E+04   2.0000001E+00   0.0000000E+00
1.0277356E+01   1.2908501E+00   3.5893219E+04   1.9999997E+00   0.0000000E+00
1.0048472E+01   1.2328084E+00   3.3645984E+04   2.0000001E+00   0.0000000E+00
9.8134594E+00   1.1744621E+00   3.1425010E+04   1.9999999E+00   0.0000000E+00
9.5805409E+00   1.1158541E+00   2.9254624E+04   2.0000002E+00   0.0000000E+00
9.3513397E+00   1.0570512E+00   2.7153760E+04   2.0000001E+00   0.0000000E+00
9.1258432E+00   9.9809433E-01   2.5129008E+04   1.9999998E+00   0.0000000E+00
8.9041451E+00   9.3904811E-01   2.3183274E+04   1.9999998E+00   0.0000000E+00
8.6863896E+00   8.7997165E-01   2.1316806E+04   2.0000000E+00   0.0000000E+00
8.4725745E+00   8.2092465E-01   1.9529590E+04   1.9999997E+00   0.0000000E+00
8.2628008E+00   7.6198079E-01   1.7824089E+04   1.9999999E+00   0.0000000E+00
8.0571718E+00   7.0321542E-01   1.6201482E+04   1.9999999E+00   0.0000000E+00
7.8557510E+00   6.4241848E-01   1.4646134E+04   1.9999998E+00   0.0000000E+00
7.6587016E+00   5.8631512E-01   1.3185643E+04   2.0000000E+00   0.0000000E+00
7.4663236E+00   5.3442872E-01   1.1855193E+04   2.0000000E+00   0.0000000E+00
7.2784334E+00   4.8641178E-01   1.0644643E+04   2.0000001E+00   0.0000000E+00
7.0951111E+00   4.4234418E-01   9.5468094E+03   2.0000000E+00   0.0000000E+00
6.9165755E+00   4.0507912E-01   8.5755335E+03   1.9999999E+00   0.0000000E+00
6.7430058E+00   3.7099385E-01   7.7483067E+03   2.0000002E+00   0.0000000E+00
6.5732613E+00   3.3543879E-01   7.0059266E+03   2.0000002E+00   0.0000000E+00
6.4010441E+00   3.0120931E-01   6.2561878E+03   2.0000000E+00   0.0000000E+00
6.2320201E+00   2.6810540E-01   5.4847252E+03   2.0000004E+00   0.0000000E+00
6.0607704E+00   2.3578182E-01   4.7302035E+03   2.0000000E+00   0.0000000E+00
5.8944057E+00   2.0384969E-01   4.0202983E+03   2.0000003E+00   0.0000000E+00
5.7387509E+00   1.7415012E-01   3.3718008E+03   2.0000000E+00   0.0000000E+00
5.5967121E+00   1.5192950E-01   2.8398779E+03   2.0000003E+00   0.0000000E+00
5.4723295E+00   1.2924004E-01   2.3948516E+03   2.0000001E+00   0.0000000E+00
5.3673644E+00   1.0673664E-01   1.9719052E+03   1.9999999E+00   0.0000000E+00
5.2685514E+00   8.5800949E-02   1.5808700E+03   1.9999997E+00   0.0000000E+00
5.1851874E+00   6.7396984E-02   1.2233760E+03   1.9999998E+00   0.0000000E+00
5.1435054E+00   5.8195002E-02   8.7952051E+02   1.9996758E+00   0.0000000E+00

