#ne(10^19/m^3)   Te(keV)         ptot(Pa)        zeff(-)         [null]
1.3167678E+01   2.1949147E+00   7.3307805E+04   1.9999999E+00   0.0000000E+00
1.3165356E+01   2.1926356E+00   7.3257968E+04   1.9999998E+00   0.0000000E+00
1.3162724E+01   2.1881661E+00   7.3096699E+04   2.0000000E+00   0.0000000E+00
1.3150994E+01   2.1799947E+00   7.2789479E+04   1.9999999E+00   0.0000000E+00
1.3123165E+01   2.1671080E+00   7.2285730E+04   2.0000000E+00   0.0000000E+00
1.3079167E+01   2.1494989E+00   7.1546497E+04   1.9999999E+00   0.0000000E+00
1.3018920E+01   2.1271783E+00   7.0574811E+04   2.0000000E+00   0.0000000E+00
1.2942796E+01   2.1002269E+00   6.9381228E+04   2.0000000E+00   0.0000000E+00
1.2850913E+01   2.0686942E+00   6.7975636E+04   2.0000001E+00   0.0000000E+00
1.2743681E+01   2.0326925E+00   6.6369602E+04   2.0000000E+00   0.0000000E+00
1.2620885E+01   1.9921692E+00   6.4572975E+04   2.0000000E+00   0.0000000E+00
1.2483076E+01   1.9472958E+00   6.2596836E+04   1.9999999E+00   0.0000000E+00
1.2330485E+01   1.8981102E+00   6.0457665E+04   2.0000001E+00   0.0000000E+00
1.2163301E+01   1.8446944E+00   5.8170570E+04   1.9999999E+00   0.0000000E+00
1.1981443E+01   1.7870169E+00   5.5743932E+04   1.9999998E+00   0.0000000E+00
1.1785208E+01   1.7251507E+00   5.3193392E+04   2.0000001E+00   0.0000000E+00
1.1575091E+01   1.6592676E+00   5.0537337E+04   2.0000001E+00   0.0000000E+00
1.1351364E+01   1.5894293E+00   4.7789881E+04   2.0000000E+00   0.0000000E+00
1.1114480E+01   1.5157755E+00   4.4970505E+04   2.0000001E+00   0.0000000E+00
1.0864829E+01   1.4389797E+00   4.2103033E+04   1.9999999E+00   0.0000000E+00
1.0602870E+01   1.3612558E+00   3.9222586E+04   2.0000000E+00   0.0000000E+00
1.0328997E+01   1.2853917E+00   3.6388582E+04   1.9999999E+00   0.0000000E+00
1.0044019E+01   1.2120525E+00   3.3646064E+04   2.0000000E+00   0.0000000E+00
9.7574992E+00   1.1412056E+00   3.1020514E+04   2.0000000E+00   0.0000000E+00
9.4803855E+00   1.0728433E+00   2.8543273E+04   2.0000000E+00   0.0000000E+00
9.2133154E+00   1.0069940E+00   2.6227181E+04   2.0000000E+00   0.0000000E+00
8.9560567E+00   9.4359749E-01   2.4068056E+04   2.0000001E+00   0.0000000E+00
8.7085084E+00   8.8264393E-01   2.2059183E+04   2.0000000E+00   0.0000000E+00
8.4706668E+00   8.2410902E-01   2.0192123E+04   2.0000001E+00   0.0000000E+00
8.2422750E+00   7.6793952E-01   1.8459068E+04   2.0000000E+00   0.0000000E+00
8.0232299E+00   7.1411051E-01   1.6852778E+04   1.9999999E+00   0.0000000E+00
7.8134693E+00   6.6258592E-01   1.5367329E+04   2.0000001E+00   0.0000000E+00
7.6128771E+00   6.1029831E-01   1.3979515E+04   1.9999999E+00   0.0000000E+00
7.4212697E+00   5.6344697E-01   1.2699543E+04   2.0000000E+00   0.0000000E+00
7.2386036E+00   5.1923403E-01   1.1539120E+04   2.0000000E+00   0.0000000E+00
7.0645318E+00   4.7638166E-01   1.0469929E+04   2.0000000E+00   0.0000000E+00
6.8989856E+00   4.3422650E-01   9.4788865E+03   1.9999999E+00   0.0000000E+00
6.7416298E+00   3.9532027E-01   8.5722582E+03   2.0000001E+00   0.0000000E+00
6.5925570E+00   3.5583934E-01   7.6640661E+03   2.0000001E+00   0.0000000E+00
6.4503955E+00   3.1976184E-01   6.7455621E+03   1.9999999E+00   0.0000000E+00
6.3040079E+00   2.8647246E-01   5.9074002E+03   2.0000000E+00   0.0000000E+00
6.1795620E+00   2.5549322E-01   5.1695927E+03   2.0000001E+00   0.0000000E+00
6.0629773E+00   2.2643626E-01   4.5210156E+03   2.0000000E+00   0.0000000E+00
5.9531256E+00   1.9885589E-01   3.9299681E+03   2.0000001E+00   0.0000000E+00
5.8496336E+00   1.7251488E-01   3.3854746E+03   2.0000000E+00   0.0000000E+00
5.7522252E+00   1.4718220E-01   2.8807458E+03   1.9999999E+00   0.0000000E+00
5.6742932E+00   1.2275245E-01   2.4120541E+03   2.0000000E+00   0.0000000E+00
5.5917829E+00   9.9196814E-02   1.9731981E+03   1.9999999E+00   0.0000000E+00
5.5119527E+00   7.6910212E-02   1.5608321E+03   1.9999999E+00   0.0000000E+00
5.4174319E+00   5.6306913E-02   1.1685865E+03   2.0000000E+00   0.0000000E+00
5.3701715E+00   4.6005263E-02   7.8083081E+02   1.9996481E+00   0.0000000E+00
