,Column1,Shot Number,Pulse Time,Ip,Ip Slope,Bt,Bt Slope,nl_04,nl_04 Slope,RF,LSN/USN,HIREX Time,Zvel,Zvel Slope,Zint,Zint Slope,Zti,Zti Slope,Avel,Avel Slope,Aint,Aint Slope,Ati,Ati Slope,nl_04 peak,nl_04 tt peak,Ip peak,Ip tt peak,Zint max,Zint tt max,Zvel max,Zvel tt max,Zti max,Zti tt max,Zint min,Zint tt min,Zvel min,Zvel tt min,Zti min,Zti tt min,Aint max,Aint tt max,Avel max,Avel tt max,Ati max,Ati tt max,Aint min,Aint tt min,Avel min,Avel tt min,Ati min,Ati tt min,poh max,ti jump,poh abs max,ti abs max,poh0,ti0,li0,li0 peak
0,0,1120106010,0.800000012,-0.810793372,0.015978846,-5.422713963,0.022990832,0.784641857,-0.032349544,0.000103107,LSN,20,-12.48980937,-42.86537916,2440.036368,1390.690843,1.862598414,1.179888661,-7.984312461,93.17118087,606.7174142,402.4262352,1.185222179,-1.589989453,0.069383984,0.020000041,-0.011535498,0.0097,423.153573,0.028499901,1.209427216,0.068499923,0.026164895,0.068499923,97.59156126,0.068499923,-3.478205345,0.028499901,-0.087327594,0.00849992,35.94658728,0.028499901,1.518283294,0.028499901,0.064498633,0.048499942,-77.85889368,0.00849992,-4.734871461,0.068499923,-0.01607135,0.028499901,0.173284405114,0.0687624938447,1.24041923714,0.9688112098,1.06713483202,0.956706335612,1.47512292862,0.0
1,1,1120106010,1.0,-0.806411686,0.018066955,-5.420656393,0.015440221,0.788629001,-0.028154604,4.86e-05,LSN,20,-11.14675573,7.539708652,2555.959864,932.9598741,1.765524111,-1.174492764,-9.347856912,-29.4343037,579.0615678,-994.1980307,1.24782846,0.787989057,0.05789798,0.021000147,-0.011546018,0.009899974,493.8719236,0.028499961,1.605446375,0.00849998,0.09433309,0.068499923,20.14902317,0.068499923,-2.348322355,0.048499942,-0.053755246,0.00849998,71.86262655,0.028499961,-5.00138053,0.028499961,0.030033493,0.048499942,-56.43656778,0.00849998,-9.43639144,0.00849998,-0.057892657,0.00849998,0.281764579569,0.0624443530476,1.2567241315,0.962336539511,0.974959551928,0.947504438004,1.46847510338,0.0265542268753
2,2,1120106010,1.200000048,-0.800475518,0.029460915,-5.418075101,-0.001047993,0.785174632,-0.080935643,0.000100591,LSN,20,-10.21325777,0.658941897,2511.888376,-1158.991584,1.803933558,0.592178671,-4.80529055,85.73031257,573.8025736,36.8057602,1.256341999,1.246745583,0.088768279,0.02699995,-0.014688889,0.010099888,1008.737112,0.028499842,-0.931824699,0.048499823,0.052796784,0.048499823,284.8699243,0.008499861,-6.861958519,0.028499842,-0.147187528,0.008499861,133.2287374,0.048499823,-7.553694398,0.008499861,-0.024626916,0.068499923,-93.92092081,0.008499861,-12.50269857,0.048499823,-0.167688793,0.008499861,0.32958603602,0.136338123946,1.34987414056,0.974504627554,1.02028810454,0.935860710279,1.53057456017,0.0
3,3,1120106010,1.399999976,-0.798152896,0.012103598,-5.41446657,0.038906859,0.756165703,-0.256131674,4.87e-05,LSN,20,-9.115460284,50.16311632,2781.158512,1587.471134,1.861909972,2.022140984,-2.329565388,183.2032308,673.4377103,1141.418111,1.317127874,1.892061337,0.055293362,0.018000007,-0.012697907,0.006100059,627.2208822,0.028499961,0.724319346,0.00849998,0.041370883,0.068499923,138.6359213,0.068499923,-4.232154005,0.028499961,-0.170172081,0.00849998,158.8755832,0.048499942,-1.822748798,0.00849998,0.00598068,0.048499942,-30.91769076,0.00849998,-11.66809429,0.028499961,-0.140678814,0.00849998,0.327827415948,0.0896299673501,1.32542785123,0.976714580993,0.997600435277,0.943964325277,1.52501058578,0.00940752029419
4,4,1120106011,0.800000012,-0.813194405,0.002686736,-5.418777613,0.020303744,0.696435976,-0.215496258,4.9e-05,LSN,20,-3.889625127,-45.08978701,3089.765365,2743.846185,1.240770739,-0.747802272,-9.903352354,-52.43698191,931.3790599,989.4054211,1.303166697,1.322362786,0.038791549,0.011000037,-0.01143546,0.00850004,92.70289626,0.068499923,0.788671786,0.068499923,0.046357113,0.028499901,-85.87181077,0.028499901,-1.361743873,0.048499942,-0.049018305,0.00849992,90.88693134,0.068499923,2.360258196,0.00849992,0.032626083,0.028499901,-57.5273753,0.00849992,-4.517884638,0.048499942,-0.077275703,0.048499942,0.172127996723,0.045356561196,1.13494505884,0.999424026094,0.962817062118,0.987380074483,1.44904053211,0.0151219367981
5,5,1120106011,1.0,-0.808804698,0.031232577,-5.41743963,0.008780765,0.69535085,-0.076710098,5.14e-05,LSN,20,-3.744597207,-18.80308991,3374.927962,430.1273633,1.238402941,-0.541595141,-14.38472461,-146.1940491,1020.250947,243.092578,1.27254694,-0.646579882,0.021415091,0.00699997,-0.009870239,0.007499933,-45.26511988,0.00849998,0.206557999,0.028499961,0.066884182,0.028499961,-223.6096023,0.048499942,-2.877010097,0.048499942,0.020435951,0.068499923,17.19631898,0.028499961,7.954621305,0.068499923,0.097251363,0.028499961,-42.18484557,0.048499942,0.03094386,0.048499942,-0.027241044,0.00849998,0.104965283555,0.0451489327914,1.1027785182,1.00382302199,0.997813234649,0.984190523265,1.45428037643,0.0160256624222
6,6,1120106011,1.200000048,-0.804651008,0.00049096,-5.412188547,0.036410975,0.68062531,-0.160169329,0.00010277,LSN,20,-4.46177333,24.31600029,3562.503825,378.7784374,1.270813978,0.44421894,-4.500588918,96.22479317,1083.499065,-349.7348306,1.234310363,-1.186345159,0.023487875,0.008000135,-0.011050211,0.008099914,46.21541359,0.068499923,0.580092365,0.068499923,0.005800092,0.028499842,-246.4459634,0.028499842,-2.61929757,0.028499842,-0.040911114,0.008499861,30.04317178,0.028499842,-6.385507083,0.008499861,0.120115783,0.028499842,-1.034464942,0.048499823,-8.81998775,0.028499842,0.025010373,0.008499861,0.194342779177,0.0484630951535,1.1193411348,1.00912183253,0.924998355624,0.976336216396,1.50052690506,0.0
7,7,1120106011,1.399999976,-0.802035482,0.006539859,-5.410105958,0.027663909,0.66503983,-0.120551342,9.84e-05,LSN,20,-4.117896215,9.806019625,3709.854683,-614.9713848,1.254254701,-0.521651224,-8.031325188,84.28394523,1223.197193,1455.507076,1.281518929,-0.314420752,0.02485127,0.008000016,-0.009069176,0.006500006,27.84111801,0.068499923,0.542290346,0.00849998,0.044817446,0.028499961,-288.2602003,0.028499961,-5.237347468,0.028499961,-0.002853276,0.00849998,-0.35124592,0.068499923,-0.480521355,0.00849998,0.088129766,0.048499942,-70.36113361,0.028499961,-2.38246933,0.068499923,-0.026203864,0.00849998,0.0608601660239,0.0715807364621,1.09044383298,1.03392070188,1.02958366696,0.99566500607,1.51651906967,0.0
8,8,1120106012,0.800000012,-0.813158621,0.034559278,-5.421191306,0.005765968,0.623375127,-0.183196571,4.79e-05,LSN,20,0.960786498,-8.197054127,3502.084278,4328.495026,1.261574895,-0.502705165,-2.833762197,20.10575499,1185.817691,992.9038556,1.317871623,-0.403023089,0.04759573,0.011500061,-0.009842267,0.006900013,189.7680165,0.068499923,-1.312054968,0.00849992,0.034475653,0.068499923,-217.9600108,0.028499901,-5.083614505,0.028499901,-0.035023363,0.00849992,90.95306093,0.068499923,-1.369763347,0.048499942,0.058140822,0.048499942,-59.36481017,0.00849992,-5.239999744,0.00849992,-0.062762551,0.00849992,0.257897894377,0.0602259129707,1.14668617513,1.03673160559,0.888788280751,1.00756562369,1.49352073669,0.0
9,9,1120106012,1.0,-0.809099143,0.049442372,-5.418787125,0.008235094,0.629033963,-0.095172527,5.01e-05,LSN,20,1.64332563,45.24716133,3935.374883,530.353289,1.314235113,0.406662018,-7.907243666,19.20697137,1393.060207,1574.385046,1.336411479,1.428402832,0.039527079,0.011000156,-0.010488098,0.010100007,30.36608341,0.00849998,-0.135793868,0.068499923,0.034630753,0.028499961,-238.165899,0.028499961,-6.565047089,0.028499961,-0.052799128,0.00849998,-46.41384476,0.028499961,3.128279146,0.00849998,0.062741277,0.028499961,-116.9071309,0.00849998,-4.787106577,0.068499923,-0.084047201,0.00849998,0.275507421283,0.0598052369258,1.19951200863,1.03717677455,0.924004587343,1.00906529418,1.48545897007,0.0537006855011
10,10,1120106012,1.200000048,-0.804128932,0.034014082,-5.416157198,-0.008128094,0.617303283,-0.071861951,0.00010136,LSN,20,-2.596176188,-35.27627077,3997.881089,3.448489617,1.27847987,-0.338706697,-12.70046996,-108.5372649,1395.873502,121.3868345,1.285243144,-0.02535584,0.041831284,0.010499954,-0.010212945,0.004899979,24.24146988,0.008499861,1.183010738,0.008499861,0.086036627,0.048499823,-260.7536473,0.028499842,-1.363698919,0.068499923,-0.017904933,0.008499861,67.28360225,0.048499823,5.28509187,0.008499861,0.092705617,0.028499842,-50.14620732,0.068499923,0.486358636,0.048499823,-0.033778181,0.008499861,0.235652426262,0.0590027210687,1.17412782592,1.04866504513,0.938475399655,1.01650918638,1.54489850998,0.0
11,11,1120106012,1.399999976,-0.802499902,0.002893877,-5.413860683,0.017029189,0.59824288,-0.174362133,9.93e-05,LSN,20,-0.229122335,73.76333778,4107.74183,1105.788566,1.292863591,0.244355361,-14.90128393,-136.6878413,1429.70719,-563.78433,1.284118502,-0.983956371,0.053720831,0.011500001,-0.01203252,0.006100059,33.57164644,0.00849998,-0.898586696,0.028499961,0.06684746,0.028499961,-384.5101407,0.028499961,-3.271142548,0.048499942,-0.043382748,0.00849998,45.93550982,0.028499961,3.485443781,0.00849998,0.098506839,0.048499942,-1.167639599,0.068499923,-4.834517767,0.048499942,-0.026124923,0.00849998,0.284166192054,0.0976520022994,1.19253396608,1.08299698135,0.908367774023,1.02076003771,1.57845425606,0.0174247026443
12,20,1120106015,0.800000012,-0.815260825,0.013902605,-5.428363596,0.007917493,0.596513469,-0.291665273,0.000101404,LSN,20,5.199274675,-26.98109718,3877.284187,2108.757416,1.324440422,0.801915076,10.83637328,-46.75014468,1489.187513,1586.046152,1.354099844,-0.710562006,0.092346471,0.035000026,-0.01786953,0.022299945,1009.149895,0.068499923,0.346199854,0.00849992,-0.065183582,0.028499901,-179.8901438,0.00849992,-11.97744717,0.068499923,-0.170313659,0.048499942,-139.8775768,0.00849992,-6.729981848,0.00849992,-0.034382318,0.028499901,-872.8629283,0.048499942,-21.84274001,0.048499942,-0.210731004,0.048499942,0.560532408678,0.101306383553,1.44428850395,0.974814391283,0.883756095269,1.01941433233,1.56760692596,0.0304832458496
13,21,1120106015,1.0,-0.809521149,0.046448266,-5.425779754,0.036820233,0.610598232,-0.299765677,0.000100461,LSN,20,6.532533899,89.04852419,4265.935099,1563.612331,1.290112075,-0.171867177,-4.762639058,-254.3405746,1553.584652,1649.879503,1.300640003,-0.637922299,0.042860542,0.01150012,-0.013390611,0.006700039,-54.12455196,0.00849998,-4.362371937,0.028499961,0.063166443,0.028499961,-550.850382,0.028499961,-6.320197002,0.068499923,-0.007779059,0.00849998,36.58258394,0.068499923,-3.619423854,0.00849998,0.116622313,0.068499923,-101.0645108,0.00849998,-10.15038298,0.048499942,-0.027721898,0.00849998,0.198512664235,0.0850680392176,1.13141233629,1.06977770485,0.932899672059,1.01817507457,1.5306276083,0.0367047786713
14,22,1120106015,1.200000048,-0.805763186,0.025514613,-5.423495928,0.012345637,0.57790436,-0.171172601,9.91e-05,LSN,20,3.102778545,48.72547863,4143.341411,-1590.858451,1.28271118,0.095519515,-5.450152653,-32.97382758,1572.396681,-259.1036407,1.360868855,1.35091076,0.062197312,0.013499975,-0.013394416,0.006099939,337.7459911,0.008499861,-0.3365935,0.068499923,0.069605319,0.048499823,-141.7129933,0.028499842,-3.271847999,0.028499842,-0.025537165,0.008499861,171.9170399,0.028499842,-3.95663808,0.068499923,0.094555931,0.048499823,-13.6911144,0.068499923,-9.994733555,0.008499861,-0.102914138,0.008499861,0.248708942235,0.102672429423,1.1654801458,1.07852154251,0.916771203561,1.03367782065,1.57646584511,0.0
15,23,1120106015,1.399999976,-0.803099342,0.012030109,-5.421248359,0.019732635,0.560005682,-0.123766295,9.94e-05,LSN,20,3.658276419,54.61648642,4196.286426,1019.151083,1.276842394,-0.277468275,-14.45539423,-95.40274636,1627.77826,755.99165,1.363039686,0.404601652,0.067968709,0.015000224,-0.013862022,0.005900025,694.5641601,0.00849998,-3.234129617,0.00849998,0.089086494,0.028499961,70.98652339,0.048499942,-4.477227489,0.048499942,-0.039782324,0.00849998,285.2627557,0.028499961,1.755127395,0.048499942,0.05808215,0.028499961,129.4346307,0.048499942,0.05471846,0.00849998,-0.089045121,0.00849998,0.387653918538,0.129084744699,1.21739499634,1.10846031932,0.829741077799,1.04624924446,1.63922858238,0.0
16,24,1120106016,0.800000012,-0.814642958,0.022624615,-5.426392216,0.030575599,0.448474638,0.150320962,4.98e-05,LSN,20,16.10120338,16.82432819,4666.947728,5396.531423,1.266942469,0.900053256,21.74738507,-16.6029709,2129.063303,428.1230201,1.309292471,0.68775746,0.052426644,0.009500027,-0.010992936,0.006300032,255.2583269,0.068499923,1.233597338,0.068499923,0.023253234,0.028499901,-381.9643294,0.028499901,-3.471179426,0.00849992,-0.03046879,0.00849992,363.7047634,0.00849992,21.19699283,0.028499901,0.085835183,0.028499901,11.12199972,0.048499942,13.54630085,0.068499923,-0.028374231,0.048499942,0.163263347955,0.0782350243995,1.04844238347,1.09707420623,0.885179035514,1.03243197495,1.5408796072,0.00995802879333
17,25,1120106016,1.0,-0.810516296,0.017303004,-5.424221056,0.014476514,0.443245901,-0.064165333,4.95e-05,LSN,20,14.47647847,-9.703502372,5034.86784,318.1155378,1.249889449,-0.493473285,29.18400029,306.0751973,2520.343663,4620.921155,1.344553187,1.177854469,0.052440571,0.01150012,-0.011567471,0.006299973,310.1311839,0.068499923,0.95889388,0.048499942,0.069141193,0.068499923,-288.0729177,0.028499961,-5.718899623,0.00849998,0.027420565,0.00849998,300.7622938,0.00849998,14.20114299,0.00849998,0.105759666,0.028499961,-207.6092882,0.028499961,-0.860510145,0.068499923,-0.036781027,0.068499923,0.209275216558,0.0710803359987,1.06362190124,1.11667064032,0.854346684687,1.04971012597,1.54794430733,0.0219680070877
18,26,1120106016,1.200000048,-0.805541639,0.01163738,-5.422135373,0.024966809,0.430466042,-0.065795355,0.000102116,LSN,20,13.23434864,-54.29315976,5347.822784,139.8194693,1.252752106,-0.295844956,23.16453205,139.5326515,2557.526152,521.1735927,1.328253529,0.000768901,0.075154438,0.015000105,-0.014423435,0.007099986,779.0336609,0.008499861,1.426687851,0.068499923,0.124562462,0.048499823,61.3427429,0.028499842,-2.336052284,0.008499861,0.004866083,0.008499861,761.969942,0.008499861,3.571765556,0.008499861,0.139784673,0.028499842,178.7184772,0.068499923,0.23212017,0.068499923,-0.047414681,0.008499861,0.281519624683,0.122017544802,1.17560962198,1.14612865587,0.894089997301,1.03114111439,1.60909473896,0.0
19,27,1120106016,1.399999976,-0.802313688,0.011623809,-5.41939432,0.027458992,0.426345101,-0.081255774,0.000100491,LSN,20,13.37394559,-19.05524316,5588.496475,1156.631934,1.238061703,-0.927490766,15.49606495,-25.14299119,2617.122653,-1943.375918,1.295168255,-0.334630119,0.074591526,0.016500115,-0.01558763,0.007300019,1003.01622,0.00849998,0.49839461,0.048499942,0.115857446,0.028499961,122.5943449,0.028499961,-3.314175962,0.00849998,0.031419479,0.00849998,1085.105863,0.00849998,4.099287228,0.068499923,0.146125581,0.028499961,330.0172395,0.048499942,-4.140567585,0.028499961,0.030089285,0.048499942,0.332089918001,0.0852245932292,1.1709317687,1.13442490347,0.838841850698,1.04682079349,1.62634813786,0.0316423177719
20,28,1120106017,0.800000012,-0.815862455,0.023533779,-5.424570271,0.022115976,0.430799911,0.091885637,4.94e-05,LSN,20,17.63723272,55.46094937,5228.648569,5645.233701,1.235909955,0.222542856,20.42024854,37.38334584,2452.994221,969.0987884,1.248884892,-0.550727317,0.110315492,0.022000074,-0.020986536,0.011499941,487.4363916,0.028499901,1.275164662,0.068499923,0.127267583,0.048499942,76.18834477,0.048499942,-6.932420673,0.00849992,-0.039725081,0.00849992,542.9044606,0.028499901,4.204694244,0.00849992,0.194183851,0.048499942,142.9879567,0.068499923,-3.658827332,0.048499942,-0.000262236,0.00849992,0.427615634941,0.159367398157,1.26597571588,1.13994652316,0.83836008094,1.04396783691,1.57386434078,0.0
